Zila_Name,Upazila_Name,Per_Rural_Pop,Pov_headcount_ratio,Per_Extreme_poverty_headcount_ratio,Per_Primary_employment_Agriculture,Per_Primary_employment_Industry,Per_Primary_employment_Service,Per_Lit_pop_18_years_and_older,Per_of_underweight _child,Per_of_stunted_child
NOAKHALI,NOAKHALI SADAR,75.6,10.2,3.7,34.7,11.4,53.8,54.8,42.0,43.8
CHITTAGONG,PAHARTALI,0.0,30.0,11.7,2.1,41.4,56.5,68.8,37.0,33.8
KHAGRACHHARI,PANCHHARI,63.9,23.4,8.4,72.6,2.3,25.1,40.7,39.2,45.8
CHITTAGONG,PANCHLAISH,0.0,0.8,0.1,0.6,31.2,68.3,74.3,36.3,33.0
FENI,PARSHURAM,71.2,30.6,18.6,50.2,5.1,44.8,61.1,37.4,39.5
CHITTAGONG,PATENGA,0.0,3.9,0.6,4.6,43.4,51.9,72.7,37.2,33.8
CHITTAGONG,PATIYA,90.2,8.1,2.4,19.8,22.2,58.0,55.8,27.9,44.2
COX'S BAZAR,PEKUA,83.5,30.9,14.3,72.4,5.5,22.0,33.7,38.5,43.1
RANGAMATI,RAJASTHALI,86.7,20.5,7.2,63.9,3.6,32.4,40.9,32.2,43.8
LAKSHMIPUR,RAMGANJ,84.1,21.4,12.0,43.9,8.6,47.5,65.0,38.8,37.9
KHAGRACHHARI,RAMGARH,48.7,32.6,14.8,60.6,6.3,33.1,45.2,39.8,46.4
LAKSHMIPUR,RAMGATI,77.7,30.4,16.0,61.6,7.6,30.7,37.3,43.1,46.5
COX'S BAZAR,RAMU,83.9,34.3,17.8,56.2,11.4,32.4,35.1,37.6,47.7
RANGAMATI,RANGAMATI SADAR,32.9,7.3,1.7,34.6,12.5,52.8,61.6,31.3,38.3
CHITTAGONG,RANGUNIA,81.6,14.0,5.1,35.1,10.4,54.5,50.5,32.6,43.5
CHITTAGONG,RAOZAN,81.0,8.5,2.9,22.1,15.0,62.9,64.0,29.9,41.1
BANDARBAN,ROWANGCHHARI,82.1,32.9,16.2,85.3,0.6,14.1,24.2,40.9,45.9
LAKSHMIPUR,ROYPUR,78.6,16.7,8.7,55.1,8.7,36.2,49.4,37.5,41.7
BANDARBAN,RUMA,99.9,42.3,23.4,80.3,2.3,17.4,25.7,39.1,48.2
CHITTAGONG,SANDWIP,80.6,19.1,7.4,47.0,7.1,45.9,51.5,41.4,42.4
BRAHMANBARIA,SARAIL,85.2,31.1,15.5,61.2,8.9,29.9,37.6,39.9,43.2
CHITTAGONG,SATKANIA,86.2,15.2,5.5,34.1,15.3,50.6,53.9,32.5,42.9
NOAKHALI,SENBAGH,90.7,5.4,1.7,34.9,12.5,52.7,58.3,35.6,42.1
CHANDPUR,SHAHRASTI,87.6,50.5,29.5,51.8,11.5,36.7,62.0,37.6,39.2
CHITTAGONG,SITAKUNDA,87.9,11.5,3.6,17.8,29.6,52.6,59.6,24.5,42.7
FENI,SONAGAZI,91.9,44.5,28.5,45.1,9.7,45.2,51.6,38.5,42.8
NOAKHALI,SONAIMURI,89.4,5.0,1.5,37.3,11.2,51.5,64.7,37.6,39.7
NOAKHALI,SUBARNACHAR,97.4,18.7,7.3,71.0,4.3,24.8,32.4,40.3,46.9
COX'S BAZAR,TEKNAF,80.4,38.2,19.7,51.3,15.6,33.1,25.3,42.7,50.4
BANDARBAN,THANCHI,93.3,53.0,31.7,79.7,4.8,15.5,26.2,43.6,50.6
COMILLA,TITAS,98.0,37.7,19.4,56.6,8.7,34.7,40.7,39.3,41.0
COX'S BAZAR,UKHIA,86.8,37.8,20.1,40.5,4.2,55.3,32.9,38.9,51.0
DHAKA,ADABOR,0.0,12.5,1.4,0.4,18.6,81.0,71.7,23.1,33.9
FARIDPUR,ALFADANGA,93.4,29.9,15.5,57.8,7.0,35.2,52.7,34.1,37.9
NARAYANGANJ,ARAIHAZAR,96.2,34.4,19.8,28.9,28.4,42.6,39.8,34.9,49.0
NETRAKONA,ATPARA,93.2,31.6,17.2,79.0,3.7,17.4,34.1,39.4,43.6
KISHOREGANJ,AUSTAGRAM,88.3,33.7,20.5,80.9,4.6,14.5,28.9,40.5,44.8
DHAKA,BADDA,0.0,13.4,1.2,1.7,26.4,71.9,75.4,20.9,29.8
KISHOREGANJ,BAJITPUR,86.5,28.2,14.8,54.3,6.7,39.0,39.2,38.0,44.8
JAMALPUR,BAKSHIGANJ,87.0,50.4,34.3,77.7,3.6,18.7,28.5,40.8,43.7
RAJBARI,BALIAKANDI,95.0,39.7,24.0,76.7,7.2,16.1,49.3,32.5,36.9
NARAYANGANJ,BANDAR,46.6,20.9,4.0,7.2,38.8,54.0,59.1,27.4,39.8
DHAKA,BANGSHAL,0.0,9.4,0.9,0.1,29.5,70.4,76.7,19.3,34.6
NETRAKONA,BARHATTA,95.8,35.2,20.1,76.2,5.1,18.7,34.4,39.4,44.2
TANGAIL,BASAIL,91.5,19.7,11.1,58.8,9.5,31.7,48.1,32.7,38.6
NARSINGDI,BELABO,89.0,21.9,11.7,54.9,11.0,34.2,45.8,34.6,42.2
KISHOREGANJ,BHAIRAB,60.3,33.9,15.4,25.8,22.8,51.4,43.4,35.0,45.8
MYMENSINGH,BHALUKA,85.9,31.1,14.8,41.2,30.0,28.8,48.8,33.5,42.4
FARIDPUR,BHANGA,81.8,33.5,17.0,60.8,11.9,27.3,44.7,35.4,40.1
SHARIATPUR,BHEDARGANJ,96.5,56.3,38.3,67.2,6.5,26.4,39.1,37.7,41.5
TANGAIL,BHUAPUR,85.2,34.4,21.4,57.6,7.9,34.5,40.2,37.4,42.7
DHAKA,BIMAN BANDAR,0.0,1.3,0.3,0.7,21.7,77.6,83.1,20.5,34.8
FARIDPUR,BOALMARI,88.7,39.3,21.5,65.6,7.6,26.8,44.9,35.6,41.2
DHAKA,CANTONMENT,0.0,1.5,0.0,0.7,11.5,87.8,87.8,17.7,30.4
DHAKA,CHAK BAZAR,0.0,10.7,1.0,0.2,28.6,71.2,72.3,20.7,34.4
FARIDPUR,CHAR BHADRASAN,64.1,35.8,19.8,69.1,6.4,24.5,38.7,37.5,42.1
DHAKA,DAKSHINKHAN,0.0,24.6,11.8,1.2,27.2,71.6,78.0,20.0,27.9
SHARIATPUR,DAMUDYA,83.6,47.9,29.4,54.5,9.6,35.9,51.6,35.2,40.3
DHAKA,DARUS SALAM,0.0,14.2,2.1,0.9,30.0,69.1,69.3,22.5,31.8
MANIKGANJ,DAULATPUR,95.6,29.4,15.7,81.6,5.7,12.7,31.7,41.3,43.7
TANGAIL,DELDUAR,92.7,24.3,14.5,48.2,15.5,36.3,49.2,33.2,41.5
DHAKA,DEMRA,0.0,19.9,2.8,2.4,24.8,72.8,74.9,21.0,29.5
JAMALPUR,DEWANGANJ,81.4,58.5,41.6,73.1,4.1,22.8,28.3,42.0,46.9
DHAKA,DHAMRAI,85.6,22.8,9.1,43.0,26.7,30.3,47.6,31.6,40.5
TANGAIL,DHANBARI,80.1,37.0,21.1,70.4,4.9,24.7,39.5,36.7,43.9
DHAKA,DHANMONDI,0.0,1.4,0.1,0.2,11.4,88.4,89.1,17.8,31.4
MYMENSINGH,DHOBAURA,96.2,58.2,38.4,75.9,3.5,20.7,29.1,42.2,45.5
DHAKA,DOHAR,83.7,23.9,10.1,33.9,17.5,48.6,59.2,31.5,39.8
NETRAKONA,DURGAPUR,87.8,30.2,11.9,72.5,4.9,22.5,37.7,39.2,43.6
FARIDPUR,FARIDPUR SADAR,74.3,38.3,21.3,36.0,14.9,49.1,54.7,31.5,40.9
MYMENSINGH,FULBARIA,88.7,52.6,32.8,66.4,10.0,23.5,36.1,36.9,43.7
MYMENSINGH,GAFFARGAON,89.9,43.9,25.8,64.1,12.4,23.5,45.2,35.2,41.6
MYMENSINGH,GAURIPUR,92.1,50.6,30.5,66.4,10.0,23.6,40.0,37.1,43.5
MUNSHIGANJ,GAZARIA,95.8,26.8,14.7,45.0,25.8,29.2,54.8,29.7,38.9
GAZIPUR,GAZIPUR SADAR,62.0,22.1,8.1,5.1,62.2,32.7,68.8,24.2,37.6
DHAKA,GENDARIA,0.0,9.3,0.8,0.4,18.5,81.1,77.9,19.1,32.4
TANGAIL,GHATAIL,92.5,28.7,17.7,67.4,7.5,25.1,39.3,35.2,39.9
MANIKGANJ,GHIOR,95.3,13.7,5.7,62.0,11.7,26.3,50.1,32.9,40.0
RAJBARI,GOALANDA,73.2,50.5,31.8,51.1,10.8,38.1,36.0,37.5,46.4
GOPALGANJ,GOPALGANJ SADAR,84.5,41.1,25.2,57.6,7.4,35.1,61.7,30.4,36.3
TANGAIL,GOPALPUR,80.4,29.3,16.9,70.5,7.7,21.8,41.5,36.2,40.7
SHARIATPUR,GOSAIRHAT,93.5,58.3,40.7,77.3,4.9,17.8,37.9,38.8,40.6
DHAKA,GULSHAN,0.0,3.3,0.8,0.6,18.6,80.8,78.2,21.6,33.5
MYMENSINGH,HALUAGHAT,96.2,50.3,30.6,72.0,5.0,23.1,35.3,38.7,43.7
MANIKGANJ,HARIRAMPUR,98.5,18.1,8.3,66.9,8.1,25.0,45.0,35.5,41.1
DHAKA,HAZARIBAGH,0.0,12.2,1.5,1.5,21.0,77.5,69.5,23.3,35.9
KISHOREGANJ,HOSSAINPUR,87.9,33.0,18.5,67.4,7.4,25.2,39.2,37.7,44.5
MYMENSINGH,ISHWARGANJ,90.8,56.0,35.8,72.8,4.9,22.2,36.5,38.3,44.1
JAMALPUR,ISLAMPUR,87.4,55.0,38.2,79.0,5.3,15.7,24.3,41.5,44.4
KISHOREGANJ,ITNA,86.2,34.9,21.1,87.0,3.1,9.9,24.1,41.4,45.5
JAMALPUR,JAMALPUR SADAR,75.9,49.8,32.7,54.9,7.7,37.4,41.8,35.6,42.1
DHAKA,JATRABARI,0.0,11.6,1.0,1.0,15.1,84.0,74.0,20.8,31.9
SHERPUR,JHENAIGATI,96.2,36.9,21.6,75.7,6.4,17.9,34.5,37.0,42.1
DHAKA,KADAMTALI,0.0,15.0,1.7,0.8,35.1,64.1,73.1,20.9,31.2
DHAKA,KAFRUL,0.0,7.0,0.4,0.7,36.9,62.3,77.3,21.2,31.2
DHAKA,KALABAGAN,0.0,10.1,1.4,1.1,23.9,75.0,87.2,18.2,31.9
GAZIPUR,KALIAKAIR,66.5,11.0,3.9,20.1,60.4,19.5,60.9,27.7,38.3
GAZIPUR,KALIGANJ,82.9,15.7,7.9,45.5,19.8,34.7,59.7,29.9,39.7
TANGAIL,KALIHATI,90.3,23.5,12.5,42.6,24.2,33.3,39.3,35.5,43.9
MADARIPUR,KALKINI,84.9,33.2,15.8,67.7,12.4,19.9,47.8,35.1,39.3
NETRAKONA,KALMAKANDA,94.4,37.6,22.6,78.9,2.7,18.4,33.3,40.6,44.5
RAJBARI,KALUKHALI,97.0,39.6,24.0,72.8,3.5,23.7,43.6,34.0,38.5
DHAKA,KAMRANGIR CHAR,0.0,22.0,2.6,1.3,25.1,73.6,58.5,24.7,33.8
GAZIPUR,KAPASIA,96.1,27.0,17.8,63.8,8.4,27.8,55.0,32.0,38.6
KISHOREGANJ,KARIMGANJ,91.0,27.1,14.0,67.1,8.9,24.0,35.1,37.8,42.7
GOPALGANJ,KASHIANI,97.3,39.1,24.6,64.3,3.4,32.3,57.0,32.0,37.0
KISHOREGANJ,KATIADI,86.7,31.6,17.1,66.6,9.5,23.9,37.3,38.5,44.6
NETRAKONA,KENDUA,92.8,40.9,24.1,79.1,4.5,16.4,33.0,39.5,43.3
DHAKA,KERANIGANJ,100.0,25.9,10.2,9.3,35.3,55.4,60.3,26.6,40.9
NETRAKONA,KHALIAJURI,93.5,37.2,22.3,86.0,2.1,11.9,28.2,40.7,46.1
DHAKA,KHILGAON,0.0,13.7,1.5,2.0,15.3,82.6,72.3,22.4,33.2
DHAKA,KHILKHET,0.0,14.7,1.8,7.3,32.3,60.4,76.7,21.9,29.5
KISHOREGANJ,KISHOREGANJ SADAR,75.8,27.6,14.5,36.2,12.5,51.3,47.7,35.1,44.6
GOPALGANJ,KOTALIPARA,94.9,43.6,27.7,71.3,3.0,25.7,57.6,32.3,36.9
DHAKA,KOTWALI,0.0,5.9,1.1,1.7,31.3,66.9,78.4,18.7,34.9
KISHOREGANJ,KULIAR CHAR,82.7,32.7,17.2,54.0,13.6,32.4,42.5,37.0,44.2
DHAKA,LALBAGH,0.0,16.0,1.8,0.6,28.1,71.3,67.3,24.0,34.8
MUNSHIGANJ,LOHAJANG,96.7,33.6,20.1,37.1,13.8,49.1,54.3,31.1,41.3
NETRAKONA,MADAN,87.8,41.6,23.5,84.4,3.2,12.4,25.2,41.1,45.2
JAMALPUR,MADARGANJ,87.6,55.5,38.2,79.0,4.0,17.0,26.8,41.0,44.0
MADARIPUR,MADARIPUR SADAR,81.9,35.0,17.5,49.3,12.3,38.4,48.0,32.9,41.6
FARIDPUR,MADHUKHALI,93.4,30.5,16.1,62.8,9.8,27.5,50.3,32.9,39.2
TANGAIL,MADHUPUR,77.9,36.4,21.5,65.5,4.7,29.8,37.6,37.1,42.1
MANIKGANJ,MANIKGANJ SADAR,76.2,18.7,7.3,41.8,12.2,46.0,54.9,32.0,40.1
NARSINGDI,MANOHARDI,92.5,22.7,11.8,59.8,7.0,33.2,47.0,34.0,40.9
JAMALPUR,MELANDAHA,88.7,47.2,30.6,76.4,4.8,18.8,29.6,39.3,42.1
DHAKA,MIRPUR,0.0,6.7,0.5,0.7,28.1,71.2,83.3,18.5,30.0
TANGAIL,MIRZAPUR,91.6,26.7,16.0,52.1,19.4,28.5,52.7,31.9,39.9
KISHOREGANJ,MITHAMAIN,90.2,35.2,23.0,81.3,1.9,16.8,29.0,40.5,46.5
DHAKA,MOHAMMADPUR,0.0,4.0,0.3,0.5,11.1,88.4,76.5,21.8,34.6
NETRAKONA,MOHANGANJ,83.1,34.3,18.2,72.9,4.0,23.1,37.3,38.4,42.8
DHAKA,MOTIJHEEL,0.0,1.3,0.1,0.3,12.9,86.8,84.1,19.1,32.5
GOPALGANJ,MUKSUDPUR,93.0,46.5,29.9,67.5,8.6,24.0,51.5,34.0,38.2
MYMENSINGH,MUKTAGACHHA,87.8,43.3,23.9,52.8,7.2,40.0,40.3,36.5,45.2
MUNSHIGANJ,MUNSHIGANJ SADAR,64.2,30.8,15.1,31.9,22.0,46.2,53.1,30.2,40.1
MYMENSINGH,MYMENSINGH SADAR,50.3,52.3,39.3,30.8,14.6,54.6,51.6,34.4,43.9
FARIDPUR,NAGARKANDA,92.5,35.9,19.2,68.8,5.0,26.2,43.7,34.7,39.2
TANGAIL,NAGARPUR,95.5,39.9,26.4,66.2,9.6,24.2,38.4,38.1,44.1
SHERPUR,NAKLA,82.4,46.8,28.5,72.9,6.9,20.3,36.8,37.3,41.4
SHERPUR,NALITABARI,89.4,41.8,24.1,75.7,6.3,18.0,35.2,37.7,41.3
MYMENSINGH,NANDAIL,88.5,60.7,41.8,70.1,9.1,20.8,37.0,38.8,45.5
